date,hotspot_thailand_day,hotspot_thailand_night,hotspot_myanmar_day,hotspot_myanmar_night,hotspot_cambodia_day,hotspot_cambodia_night,hotspot_lao_pdr_day,hotspot_lao_pdr_night,hotspot_p_malaysia_day,hotspot_p_malaysia_night
2020-04-29,9.0,0.0,4.0,0.0,17.0,4.0,81.0,0.0,0.0,0.0
2020-04-30,18.0,,36.0,,24.0,,33.0,,0.0,
2020-05-01,26.0,0.0,36.0,0.0,22.0,0.0,14.0,0.0,0.0,0.0
2020-05-02,22.0,1.0,25.0,0.0,12.0,0.0,35.0,0.0,1.0,0.0
2020-05-03,13.0,0.0,21.0,0.0,12.0,3.0,63.0,0.0,0.0,1.0
2020-05-04,15.0,0.0,76.0,0.0,7.0,0.0,123.0,0.0,0.0,0.0
2020-05-05,62.0,0.0,96.0,0.0,18.0,0.0,379.0,0.0,0.0,0.0
2020-05-06,103.0,0.0,148.0,1.0,23.0,0.0,382.0,5.0,1.0,0.0
2020-05-07,60.0,0.0,100.0,2.0,27.0,0.0,459.0,0.0,1.0,0.0
2020-05-08,24.0,0.0,120.0,0.0,17.0,4.0,97.0,1.0,0.0,0.0
2020-05-09,7.0,0.0,110.0,0.0,17.0,0.0,32.0,0.0,0.0,0.0
2020-05-10,15.0,0.0,101.0,3.0,0.0,0.0,26.0,1.0,0.0,0.0
2020-05-11,15.0,,195.0,,0.0,,19.0,,1.0,
2020-05-12,26.0,0.0,37.0,0.0,15.0,0.0,31.0,0.0,2.0,0.0
2020-05-13,12.0,0.0,22.0,0.0,28.0,0.0,27.0,0.0,0.0,0.0
2020-05-14,3.0,0.0,20.0,0.0,13.0,0.0,6.0,0.0,0.0,0.0
2020-05-15,6.0,0.0,39.0,0.0,5.0,0.0,19.0,0.0,0.0,0.0
2020-05-16,25.0,0.0,76.0,1.0,4.0,0.0,25.0,0.0,0.0,0.0
2020-05-17,16.0,0.0,10.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0
2020-05-18,9.0,0.0,23.0,0.0,21.0,1.0,7.0,1.0,0.0,0.0
2020-05-19,1.0,,3.0,,22.0,,32.0,,0.0,
